dataset,classifier,accuracy,precision,recall,f1,auc,log_loss,accuracy_std,f1_std,F1,overlap_region_count,mean_feature_relevance,min_feature_relevance,max_feature_relevance,N3,mean_margin,std_margin,min_margin,outlier_score_mean,outlier_percentage,N1,decision_boundary_density,local_density_ratio,cluster_compactness_ratio,n_samples,n_features,imbalance_ratio,majority_class_count,minority_class_count
paw02a-600-5-60-BI,LightGBM,0.8566666666666667,0.9318818120920603,0.8941314377955386,0.9120628996901811,0.8948443469532263,0.38298726203688976,0.016158932858054424,0.01116092557962514,0.0036892397484862,2,0.5,0.4960879996680812,0.5039120003319187,0.22,1.000009028699498,1.882395302869328e-05,0.9999638111043514,-1.0,1.0,0.1266666666666666,0.1,1.447476923725989,0.5199980283082049,600,2,5.0,500,100
paw02a-600-5-60-BI,Logistic Regression,0.47333333333333333,0.8036559035572035,0.4850861797897116,0.6044801594959155,0.46484694164796936,0.6988719835793699,0.030000000000000006,0.03686357059276164,0.0036892397484862,2,0.5,0.4960879996680812,0.5039120003319187,0.22,1.000009028699498,1.882395302869328e-05,0.9999638111043514,-1.0,1.0,0.1266666666666666,0.1,1.447476923725989,0.5199980283082049,600,2,5.0,500,100
paw02a-600-5-60-BI,Extra Trees,0.8716666666666667,0.9113081532472977,0.938292977691038,0.923961457282307,0.8887135504655793,0.35558520954183204,0.01632993161855457,0.010741960056020938,0.0036892397484862,2,0.5,0.4960879996680812,0.5039120003319187,0.22,1.000009028699498,1.882395302869328e-05,0.9999638111043514,-1.0,1.0,0.1266666666666666,0.1,1.447476923725989,0.5199980283082049,600,2,5.0,500,100
paw02a-600-5-60-BI,Bagging,,,,,,,,,0.0036892397484862,2,0.5,0.4960879996680812,0.5039120003319187,0.22,1.000009028699498,1.882395302869328e-05,0.9999638111043514,-1.0,1.0,0.1266666666666666,0.1,1.447476923725989,0.5199980283082049,600,2,5.0,500,100
paw02a-600-5-60-BI,Stacking,,,,,,,,,0.0036892397484862,2,0.5,0.4960879996680812,0.5039120003319187,0.22,1.000009028699498,1.882395302869328e-05,0.9999638111043514,-1.0,1.0,0.1266666666666666,0.1,1.447476923725989,0.5199980283082049,600,2,5.0,500,100
03subcl5-600-5-30-BI,SVM,0.745,0.9722296361330601,0.7120523285003791,0.8204782203092915,0.8746551931362234,0.31086592147611314,0.0541602560309064,0.04557681615447546,0.0169435325985549,2,0.5,0.4318954239063835,0.5681045760936165,0.18,0.9999953431025552,9.361324396767677e-06,0.9999740273304382,-1.0,1.0,0.11,0.1,1.728640161007149,0.6114383514188142,600,2,5.0,500,100
03subcl5-600-5-30-BI,k-NN,0.8799999999999999,0.8917976082611248,0.9737854018231932,0.9308425268475204,0.8220919713558557,1.2334445335008377,0.024494897427831817,0.015085206654129473,0.0169435325985549,2,0.5,0.4318954239063835,0.5681045760936165,0.18,0.9999953431025552,9.361324396767677e-06,0.9999740273304382,-1.0,1.0,0.11,0.1,1.728640161007149,0.6114383514188142,600,2,5.0,500,100
03subcl5-600-5-30-BI,Decision Tree,0.8683333333333334,0.9119307697501038,0.9315809459171784,0.9213372394297835,0.742092938608881,4.745747696233758,0.025495097567963917,0.01737073153107902,0.0169435325985549,2,0.5,0.4318954239063835,0.5681045760936165,0.18,0.9999953431025552,9.361324396767677e-06,0.9999740273304382,-1.0,1.0,0.11,0.1,1.728640161007149,0.6114383514188142,600,2,5.0,500,100
03subcl5-600-5-30-BI,Neural Network,0.8333333333333334,0.8333333333333334,1.0,0.9088690761748678,0.7520944634323179,0.6421699808810886,0.026352313834736484,0.015433730415077456,0.0169435325985549,2,0.5,0.4318954239063835,0.5681045760936165,0.18,0.9999953431025552,9.361324396767677e-06,0.9999740273304382,-1.0,1.0,0.11,0.1,1.728640161007149,0.6114383514188142,600,2,5.0,500,100
03subcl5-600-5-30-BI,Naive Bayes,0.8333333333333334,0.8333333333333334,1.0,0.9088690761748678,0.8777187784531424,0.33094634632817443,0.026352313834736484,0.015433730415077456,0.0169435325985549,2,0.5,0.4318954239063835,0.5681045760936165,0.18,0.9999953431025552,9.361324396767677e-06,0.9999740273304382,-1.0,1.0,0.11,0.1,1.728640161007149,0.6114383514188142,600,2,5.0,500,100
