dataset,F1,overlap_region_count,mean_feature_relevance,N3,mean_margin,outlier_percentage,N1,decision_boundary_density,local_density_ratio,cluster_compactness_ratio,imbalance_ratio,f1,auc,accuracy
03subcl5-600-5-30-BI,0.0169435325985549,2,0.5,0.18,0.9999953431025552,1.0,0.11,0.1,1.728640161007149,0.6114383514188142,5.0,0.8824854729771157,0.8214844232467731,0.8175925925925926
yeast4,1.251663762648069,8,0.125,0.07,1.000146353885766,0.9454177897574124,0.0323450134770889,0.1004043126684636,1.904734835674197,0.95373869637487,28.098039215686278,0.2206691651876126,0.855178141711312,0.8515993265993266
yeast6,1.967456964998905,8,0.125,0.04,1.0007827590561316,0.9454177897574124,0.0175202156334231,0.1004043126684636,1.4525914824657402,0.7130950927467721,41.4,0.40981207228505834,0.8798951718040438,0.8887319137319136
03subcl5-800-7-30-BI,0.00964996730793,2,0.5,0.12,1.0000003117162026,1.0,0.0825,0.1,2.0526750621782632,0.6088935252069726,7.0,0.9050157535268752,0.8343453964327188,0.8479166666666667
shuttle-c0-vs-c4,12.972295316990396,7,0.1111111111111111,0.0,1.6588355455203998,0.9786768726079824,0.0005467468562055,0.1000546746856205,5.3127482810362014,2.6004389137970927,13.869918699186991,0.9919045280030776,0.9952489637499665,0.9989059393999883
ecoli-0-4-6_vs_5,1.6030070808190091,6,0.6857475698162273,0.0295566502463054,2.2225932185881194,0.1477832512315271,0.0788177339901477,0.0147783251231527,5.672413793103448,0.768884186434175,9.15,0.7523580486325584,0.9156203253231117,0.9480081300813007
yeast-0-3-5-9_vs_7-8,0.3112856399265638,8,0.0880386213011601,0.116,0.9953247005830278,0.0988142292490118,0.3320158102766798,0.0,4.588471673254282,1.6007679491827762,9.12,0.31752026150312956,0.7572905824119911,0.7859207489376389
glass-0-1-6_vs_5,1.8505487246995236,9,0.1111111111111111,0.0217391304347826,3.2114346951266195,0.8315217391304348,0.0217391304347826,0.1032608695652173,2.1605459553022475,0.9429728153549294,19.444444444444443,0.6508353375020042,0.9701796737213404,0.9641975308641975
glass2,0.3952178293222272,9,0.1111111111111111,0.09,1.000223229742934,0.8177570093457944,0.0841121495327102,0.102803738317757,1.123630922058298,0.5954466768845764,11.588235294117649,0.2571579589028644,0.8120017762123025,0.8306878306878307
04clover5z-800-7-60-BI,0.0036314389840586,2,0.5,0.12,0.9999969107278442,1.0,0.12875,0.1,1.864721111763986,0.5655501548010694,7.0,0.8848473568222746,0.7908359039083477,0.8143055555555555
paw02a-600-5-70-BI,0.0150598382043264,2,0.5,0.24,0.9996714915930964,1.0,0.1633333333333333,0.1,1.453984062751967,0.5292928553078393,5.0,0.8722554066953865,0.8273147011435158,0.7987037037037037
yeast-1-2-8-9_vs_7,0.3659603975135335,8,0.1249999999999999,0.11,1.0000512452866372,0.928194297782471,0.0285110876451953,0.1003167898627244,1.8339041267901588,1.0237941504696702,30.566666666666663,0.1410097400199225,0.7447507757116016,0.8315139701104612
yeast-1_vs_7,0.3534209129197483,7,0.1428571428571428,0.14,1.0002137738420214,0.934640522875817,0.0566448801742919,0.1002178649237472,1.5377460758556736,1.0537023776529668,14.3,0.20698768233891748,0.7402350079350482,0.8269257312735574
03subcl5-600-5-50-BI,0.0039814637037092,2,0.5,0.17,0.999998206319102,1.0,0.1516666666666666,0.1,1.7645775144034797,0.6466869171858837,5.0,0.865649769831713,0.7932644073252308,0.7903703703703704
ecoli-0-2-6-7_vs_3-5,0.9129256455473436,7,0.3530743078878176,0.0491071428571428,2.342774423037592,0.0982142857142857,0.1651785714285714,0.0178571428571428,5.296354166666666,0.898569385530349,9.181818181818182,0.6203586796569253,0.9043633302291839,0.9379685746352414
paw02a-600-5-60-BI,0.0036892397484862,2,0.5,0.22,1.000009028699498,1.0,0.1266666666666666,0.1,1.447476923725989,0.5199980283082049,5.0,0.8738934175398448,0.8208603722058486,0.8059259259259259
04clover5z-600-5-0-BI,0.0081117235771085,2,0.5,0.08,1.0000019832174034,1.0,0.045,0.1,0.9903345498135768,0.5530338742277269,5.0,0.9001408142588434,0.8759514425434946,0.8477777777777777
03subcl5-800-7-0-BI,0.0043174147797153,2,0.5,0.07,0.9999874554220072,1.0,0.05125,0.1,1.5502023383897163,0.576122475214668,7.0,0.9325389352612647,0.9167018602951784,0.8955555555555557
glass-0-4_vs_5,1.542236173564441,9,0.4560344141432413,0.0217391304347826,2.5091972817739348,0.2826086956521739,0.1413043478260869,0.0108695652173913,5.397644927536232,0.8320577550679888,9.22222222222222,0.7358730158730159,0.9916294642857143,0.9725795971410006
yeast-1-4-5-8_vs_7,0.1757061007605752,8,0.125,0.05,1.000039778446466,0.9365079365079364,0.0461760461760461,0.101010101010101,1.5611291199288284,0.8653348577266258,22.1,0.07572475162639791,0.660252615892776,0.7987951667651386
04clover5z-600-5-30-BI,0.0092855082172264,2,0.5,0.16,0.9999955834593248,1.0,0.11,0.1,1.3136241505152828,0.5678021043000483,5.0,0.8829321749353486,0.8476780353661478,0.8183333333333334
03subcl5-800-7-50-BI,0.0023718828261992,2,0.5,0.11,0.9999512219717248,1.0,0.11,0.1,2.129296221498606,0.6524971534748711,7.0,0.8867433676885129,0.7871012972584726,0.8184722222222223
ecoli-0-6-7_vs_5,1.692194087384129,6,0.5991879090115847,0.05,2.3353963828798245,0.0909090909090909,0.1590909090909091,0.0136363636363636,5.337121212121211,0.8342607372885462,10.0,0.6955040638373972,0.9102062235534637,0.9424242424242425
